rest_type,cuisines
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
"Quick Bites, Beverage Shop",
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
"Quick Bites, Bakery",
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Casual Dining,
Casual Dining,
Quick Bites,
 upma,
Casual Dining,
Casual Dining,
Casual Dining,
Casual Dining,
Casual Dining,
Quick Bites,
Quick Bites,
Casual Dining,
"Casual Dining, Cafe",
Pub,
Quick Bites,
"Casual Dining, Bar",
Quick Bites,
Quick Bites,
Casual Dining,
Cafe,
Quick Bites,
Quick Bites,
Casual Dining,
Casual Dining,
Casual Dining,
Casual Dining,
Casual Dining,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Casual Dining,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
 'RATED\n  This place servers multi cusines,
Quick Bites,
Casual Dining,
Casual Dining,
Quick Bites,
Quick Bites,
Quick Bites,
Casual Dining,
Casual Dining,
Quick Bites,
Quick Bites,
Casual Dining,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Casual Dining,
Casual Dining,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
"Casual Dining, Bar",
Food Truck,
Casual Dining,
Casual Dining,
Casual Dining,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
